state_label,energy
3sb,-0.18885975801537
4sb,-0.07209978707460
5sb,-0.03783490147298
6sb,-0.02326303108626
7sb,-0.01573802216118
8sb,-0.01135166003347
9sb,-0.00857305544002
10sb,-0.00670260568450
11sb,-0.00538368033719
12sb,-0.00441896910239
13sb,-0.00369211426349
14sb,-0.00313089215526
15sb,-0.00268854840344
16sb,-0.00233373326922
17sb,-0.00204478918014
18sb,-0.00180636523159
3pb,-0.11241902017819
4pb,-0.05132300920809
5pb,-0.02937854876134
6pb,-0.01901869808654
7pb,-0.01331289412022
8pb,-0.00983796511681
9pb,-0.00756562414034
10pb,-0.00599861475304
11pb,-0.00487252212711
12pb,-0.00403617754771
13pb,-0.00339806325064
14pb,-0.00290013967544
15pb,-0.00250415470116
16pb,-0.00218406675900
17pb,-0.00192164912980
18pb,-0.00170383559136
3db,-0.05540485868232
4db,-0.03116308507143
5db,-0.01994988013488
6db,-0.01385810281292
7db,-0.01018401424561
8db,-0.00779875942898
9db,-0.00616304558775
10db,-0.00499278520998
11db,-0.00412676902008
12db,-0.00346799024925
13db,-0.00295523626525
14db,-0.00254833373906
15db,-0.00222003156404
16db,-0.00195131569962
17db,-0.00172859243677
18db,-0.00154193458532
4fb,-0.03124934024488
5fb,-0.01999944592751
6fb,-0.01388849107872
7fb,-0.01020379985322
8fb,-0.00781229710787
9fb,-0.00617269003997
10fb,-0.00499988734403
11fb,-0.00413214468608
12fb,-0.00347215419789
13fb,-0.00295852562141
14fb,-0.00255097648080
15fb,-0.00222218618913
16fb,-0.00195309509410
17fb,-0.00173007872411
18fb,-0.00154318864116
19fb,-0.00138502341848
5gb,-0.01999999824450
6gb,-0.01388888695011
7gb,-0.01020407997096
8gb,-0.00781249866940
9gb,-0.00617283845832
10gb,-0.00499999917377
11gb,-0.00413223074825
12gb,-0.00347222169470
13gb,-0.00295857945313
14gb,-0.00255102005641
15gb,-0.00222222193046
16gb,-0.00195312475568
17gb,-0.00173010359973
18gb,-0.00154320970058
19gb,-0.00138504139963
20gb,-0.00124999969656
